Team,Year,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Tampa Bay Lightning,2006,82,2.96,422,665,69,18.4,14,2418,10.1,897,78.4,53,16,30.2
Toronto Maple Leafs,2006,82,3.1,445,699,71,17.7,3,2681,9.5,1139,78.5,44,14,31.8
Vancouver Canucks,2006,82,2.65,392,609,70,17.2,5,2405,9.0,1206,86.9,37,15,40.5
Washington Capitals,2006,82,2.85,380,614,67,16.4,12,2295,10.2,1233,80.2,40,5,12.5
Anaheim Mighty Ducks,2005,82,3.06,432,683,87,18.1,9,2585,9.7,1459,83.5,31,8,25.8
Atlanta Thrashers,2005,82,3.37,471,747,100,18.9,13,2522,10.9,1344,79.2,36,11,30.6
Boston Bruins,2005,82,2.78,382,610,62,14.8,9,2511,9.1,1174,83.7,36,6,16.7
Buffalo Sabres,2005,82,3.37,487,763,101,21.2,10,2510,11.0,1164,86.6,32,12,37.5
Calgary Flames,2005,82,2.63,364,580,87,18.2,8,2299,9.4,1482,84.3,29,6,20.7
Carolina Hurricanes,2005,82,3.49,481,767,95,17.9,17,2553,11.2,1125,81.8,34,17,50.0
Chicago Blackhawks,2005,82,2.55,357,566,51,12.2,6,2480,8.4,1544,83.9,31,10,32.3
Colorado Avalanche,2005,82,3.41,494,774,89,18.8,11,2464,11.4,1178,84.6,30,6,20.0
Columbus Blue Jackets,2005,82,2.62,359,574,64,14.2,10,2250,9.6,1414,81.8,43,15,34.9
Dallas Stars,2005,82,3.09,455,708,88,17.7,10,2336,10.8,1496,83.7,42,24,57.1
Detroit Red Wings,2005,82,3.67,519,820,102,22.1,7,2797,10.8,1117,85.5,25,12,48.0
Edmonton Oilers,2005,82,3.04,438,687,88,18.1,15,2442,10.2,1204,84.1,53,19,35.8
Florida Panthers,2005,82,2.88,404,640,63,15.3,5,2724,8.7,1279,82.3,31,8,25.8
Los Angeles Kings,2005,82,2.96,431,674,77,14.2,15,2394,10.2,1474,78.7,20,10,50.0
Minnesota Wild,2005,82,2.76,386,612,77,17.0,11,2194,10.3,1209,87.4,31,9,29.0
Montreal Canadiens,2005,82,2.94,413,654,89,19.2,10,2470,9.8,1336,81.1,14,4,28.6
Nashville Predators,2005,82,3.09,442,695,94,18.4,12,2380,10.6,1533,84.6,25,12,48.0
New Jersey Devils,2005,82,2.84,417,650,78,17.8,3,2395,9.7,948,81.9,45,18,40.0
