Timestamp,Initials,Shot Distance (feet),# Out of 5,Group
2024-11-18 11:22:32,MT12,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:33,SAV,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:22:39,MER,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:42,A7A,8,4,St. Thomas More Catholic Elementary School
2024-11-18 11:22:42,DLC,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:44,EHA,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:22:50,MT12,8,4,St. Thomas More Catholic Elementary School
2024-11-18 11:22:52,SAV,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:22:53,LNC,4,3,St. Thomas More Catholic Elementary School
2024-11-18 11:22:53,SHREK19,6,4,St. Thomas More Catholic Elementary School
2024-11-18 11:23:08,DLC,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:23:10,JNS,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:23:13,SHREK19,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:23:14,MT12,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:23:21,LNC,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:23:22,Tj,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:23:23,SAV,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:23:26,EHA,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:23:32,SHREK19,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:23:33,N.G BALL,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:23:34,EIMHB,6,4,St. Thomas More Catholic Elementary School
2024-11-18 11:23:43,EHA,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:23:49,MASH,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:23:56,DLC,6,4,St. Thomas More Catholic Elementary School
2024-11-18 11:23:56,MER,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:23:58,SHINI001,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:23:59,IBP,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:08,AYD02,2,5,St. Thomas More Catholic Elementary School
2024-11-18 11:24:10,KRC,10,5,St. Thomas More Catholic Elementary School
2024-11-18 11:24:13,MER,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:24:15,LG ,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:24:16,jayjos,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:24:16,JOE19,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:24:21,JHS,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:29,DLC,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:30,tk,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:32,N.G BALL,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:32,LEI24,6,4,St. Thomas More Catholic Elementary School
2024-11-18 11:24:36,MAYE001,2,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:39,MASH,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:24:42,jayjos,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:45,DLC,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:51,skh12,2,5,St. Thomas More Catholic Elementary School
2024-11-18 11:24:55,DES15,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:57,N.G BALL,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:24:57,SJ,2,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:58,MAYE001,4,3,St. Thomas More Catholic Elementary School
2024-11-18 11:24:58,JOE19,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:25:03,AYD02,4,4,St. Thomas More Catholic Elementary School
2024-11-18 11:25:13,VLU,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:25:16,kt,4,3,St. Thomas More Catholic Elementary School
2024-11-18 11:25:17,skh12,4,4,St. Thomas More Catholic Elementary School
2024-11-18 11:25:18,MASH,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:25:18,MJ,10,5,St. Thomas More Catholic Elementary School
2024-11-18 11:25:22,SHINI001,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:25:25,SJ,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:25:25,MAYE001,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:25:30,ZMM,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:25:31,MRS,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:25:32,fb7,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:25:35,AJP,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:25:41,AYD02,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:25:43,LEI24,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:25:46,IAN :),2,5,St. Thomas More Catholic Elementary School
2024-11-18 11:25:52,             ,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:26:00,IAN :),4,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:01,JOE19,6,4,St. Thomas More Catholic Elementary School
2024-11-18 11:26:01,JUL13,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:26:02,acey,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:04,MASH,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:05,SJ,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:26:07,MAYE001,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:26:12,EIMHB,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:18,WBE,10,5,St. Thomas More Catholic Elementary School
2024-11-18 11:26:18,AYD02,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:25,skh12,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:29,IAN :),6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:26:31,LUCBEJ,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:33,LEI24,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:26:34,AYD02,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:42,IAN :),8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:42,JOE,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:26:42,IGN,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:26:43,GHJ,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:46,skh12,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:26:46,SJ,8,0,St. Thomas More Catholic Elementary School
2024-11-18 11:26:53,IAN :),10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:26:53,SHINI001,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:27:00,KCAM,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:01,A7A,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:05,skh12,10,1,St. Thomas More Catholic Elementary School
2024-11-18 11:27:10,LNC,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:27:11,JOE19,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:27:11,LUCBEJ,4,1,St. Thomas More Catholic Elementary School
2024-11-18 11:27:15,SJ,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:16,SHINI001,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:17,MASH,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:32,Tj,8,1,St. Thomas More Catholic Elementary School
