Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Jaccob Slavin,D,81,6,31,37,21,8,20:55,0,0,151,4.0,2017,1,0,0,0.0,0,0,0.0
Alex Killorn,LW,63,18,18,36,-15,54,18:43,5,2,145,12.4,1403,5,14,25,35.9,1,0,0.0
Danton Heinen,LW,74,17,19,36,16,28,14:27,1,0,119,14.3,1485,4,12,19,38.7,0,0,0.0
Mason Appleton,C,82,14,22,36,16,26,16:02,2,0,122,11.5,1693,2,9,8,52.9,0,0,0.0
Gabriel Vilardi,C,47,22,14,36,11,14,17:00,9,5,117,18.8,869,5,27,32,45.8,0,0,0.0
Nils Hoglander,LW,80,24,12,36,23,51,12:06,0,0,120,20.0,1402,5,0,0,0.0,0,0,0.0
Anton Lundell,C,78,13,22,35,19,46,15:22,1,4,166,7.8,1630,2,482,396,54.9,5,1,20.0
Dylan Guenther,RW,45,18,17,35,-1,14,16:16,9,4,121,14.9,900,4,6,23,20.7,0,0,0.0
Matthew Knies,LW,80,15,20,35,9,45,13:40,0,2,115,13.0,1421,3,0,1,0.0,0,0,0.0
Boone Jenner,C,58,22,13,35,-8,28,20:05,5,3,155,14.2,1356,1,604,509,54.3,0,0,0.0
Adam Lowry,C,81,12,23,35,17,57,16:06,0,2,119,10.1,1796,1,676,704,49.0,0,0,0.0
Erik Haula,LW,76,16,19,35,-1,54,16:52,1,2,155,10.3,1772,2,489,403,54.8,0,0,0.0
Tom Wilson,RW,74,18,17,35,-19,133,18:06,5,5,169,10.7,1699,3,22,38,36.7,0,0,0.0
Colton Sissons,C,81,15,20,35,-6,38,16:34,3,4,131,11.5,1859,2,618,558,52.6,0,0,0.0
Jason Dickinson,C,82,22,13,35,4,43,16:34,2,0,126,17.5,1709,4,618,618,50.0,1,0,0.0
Mathieu Joseph,RW,72,11,24,35,-4,51,16:28,0,0,124,8.9,1673,3,22,44,33.3,0,0,0.0
Nino Niederreiter,RW,77,18,16,34,12,34,14:57,3,1,170,10.6,1466,3,26,31,45.6,0,0,0.0
Artturi Lehkonen,LW,45,16,18,34,11,14,18:28,7,5,103,15.5,1016,2,9,24,27.3,0,0,0.0
Alex Newhook,C,55,15,19,34,-11,18,16:55,2,6,85,17.6,1049,2,229,263,46.5,1,0,0.0
Connor Zary,C,63,14,20,34,12,22,15:16,1,3,90,15.6,1214,3,48,61,44.0,2,0,0.0
Dmitri Voronkov,LW,75,18,16,34,-6,52,13:27,6,2,142,12.7,1379,2,277,380,42.2,0,0,0.0
Michael Rasmussen,C,75,13,20,33,8,47,15:11,0,0,101,12.9,1546,3,58,62,48.3,0,0,0.0
Connor McMichael,C,80,18,15,33,-20,34,15:59,2,4,135,13.3,1734,3,370,502,42.4,3,0,0.0
