Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Noah Vonleh,PF,25,10.4,3.3,1.2,3.0,39.5,0.2,0.5,38.5,0.7,1.0,69.2,3.4,0.2,0.2,0.4,0.4,1,0
Martell Webster,SF,32,11.0,3.3,0.8,2.8,26.4,0.3,1.3,23.3,1.5,2.0,75.0,1.4,0.5,0.2,0.0,0.7,0,0
Allen Crabbe,G,51,13.4,3.3,1.2,3.0,41.2,0.6,1.7,35.3,0.2,0.3,75.0,1.4,0.8,0.4,0.3,0.3,0,0
Francisco Garcia,SG,14,14.3,3.2,1.2,4.5,27.0,0.7,3.2,22.2,0.1,0.3,25.0,1.2,1.1,0.6,0.4,0.7,0,0
Will Bynum,PG,7,9.6,3.1,1.4,4.4,32.3,0.0,1.3,0.0,0.3,0.6,50.0,0.9,2.6,0.1,0.1,1.1,0,0
Jerome Adolphus Jordan,C,44,8.7,3.1,1.1,2.1,53.2,0.0,0.0,0.0,0.9,1.0,86.4,2.4,0.3,0.2,0.3,0.5,1,0
Jordan Adams,SG,30,8.3,3.1,1.2,2.9,40.7,0.3,0.8,40.0,0.5,0.8,60.9,0.9,0.5,0.5,0.2,0.5,0,0
Dwight Powell,C,29,8.1,3.1,1.1,2.3,46.3,0.1,0.4,27.3,0.9,1.1,75.8,1.7,0.3,0.3,0.2,0.4,0,0
Doug McDermott,SF,36,8.9,3.0,1.2,3.0,40.2,0.4,1.1,31.7,0.3,0.4,66.7,1.2,0.2,0.1,0.0,0.5,0,0
Jarnell Stokes,C,19,6.6,3.0,1.1,1.9,56.8,0.0,0.0,0.0,0.8,1.5,53.6,1.8,0.2,0.3,0.3,0.4,0,0
Ryan Hollins,C,46,9.6,3.0,1.2,1.8,64.6,0.0,0.0,0.0,0.7,1.2,57.4,2.2,0.3,0.1,0.4,0.5,0,0
Johnny O'Bryant III,F,34,10.8,2.9,1.3,3.5,36.7,0.0,0.0,0.0,0.4,0.8,44.4,1.9,0.5,0.1,0.1,0.7,0,0
