Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Max Jones,LW,69,9,10,19,-21,77,12:42,0,0,107,8.4,1175,2,10,12,45.5,0,0,0.0
Max Comtois,LW,64,9,10,19,-20,76,13:48,0,2,89,10.1,1096,0,23,21,52.3,1,0,0.0
Carl Grundstrom,RW,57,12,7,19,-4,16,10:45,1,0,90,13.3,847,2,4,5,44.4,0,0,0.0
Alexey Toropchenko,RW,69,10,9,19,6,12,12:04,0,0,86,11.6,1078,0,2,6,25.0,0,0,0.0
Jake Evans,C,54,2,17,19,-5,28,14:29,1,0,55,3.6,1006,0,338,312,52.0,0,0,0.0
Keegan Kolesar,RW,74,8,10,18,6,68,11:28,0,0,63,12.7,1244,0,8,16,33.3,0,0,0.0
Mathieu Joseph,RW,56,3,15,18,5,36,14:01,1,2,66,4.5,1181,0,3,6,33.3,0,0,0.0
John Marino,D,64,4,14,18,21,20,21:04,0,0,67,6.0,1607,0,0,0,0.0,0,0,0.0
Tanner Jeannot,LW,76,6,12,18,-7,107,14:15,0,0,107,5.6,1366,1,10,13,43.5,0,0,0.0
Calle Rosen,D,49,8,10,18,19,8,15:36,0,0,62,12.9,1084,2,0,0,0.0,0,0,0.0
Erik Brannstrom,D,74,2,16,18,5,38,16:06,0,1,74,2.7,1624,0,0,0,0.0,0,0,0.0
Timothy Liljegren,D,67,6,12,18,24,30,17:54,0,1,84,7.1,1591,0,0,0,0.0,0,0,0.0
Ryan Lindgren,D,63,1,17,18,29,45,18:50,0,0,75,1.3,1478,0,0,0,0.0,0,0,0.0
Paul Cotter,C,55,13,5,18,-5,15,12:49,0,0,76,17.1,864,1,11,13,45.8,4,1,25.0
Philip Tomasino,C,31,5,13,18,5,6,15:35,4,2,54,9.3,565,0,10,8,55.6,3,1,33.3
Connor Dewar,C,81,6,12,18,-5,50,10:57,0,0,87,6.9,1196,0,222,281,44.1,0,0,0.0
Kaiden Guhle,D,44,4,14,18,-19,27,20:30,0,0,48,8.3,1053,0,0,0,0.0,0,0,0.0
Braden Schneider,D,81,5,13,18,9,16,15:43,0,0,79,6.3,1583,1,0,0,0.0,0,0,0.0
Marc-Edouard Vlasic,D,78,1,17,18,-14,16,17:28,0,0,67,1.5,1777,0,0,0,0.0,0,0,0.0
Justin Holl,D,80,2,16,18,15,39,20:14,0,0,60,3.3,2047,1,0,0,0.0,0,0,0.0
Derek Grant,C,46,5,13,18,-4,26,14:50,0,2,72,6.9,952,0,272,221,55.2,0,0,0.0
Zemgus Girgensons,C,80,10,8,18,-5,14,12:58,0,1,114,8.8,1477,0,94,113,45.4,0,0,0.0
Adam Erne,LW,61,8,10,18,-12,21,13:22,0,0,55,14.5,1102,2,12,14,46.2,0,0,0.0
Tomas Nosek,LW,66,7,11,18,9,48,12:33,0,0,69,10.1,1233,1,354,243,59.3,0,0,0.0
Jake Walman,D,63,9,9,18,10,45,19:43,0,2,140,6.4,1601,2,0,0,0.0,0,0,0.0
Ian Cole,D,78,3,14,17,13,61,19:23,0,0,109,2.8,1831,0,0,0,0.0,0,0,0.0
Tyler Myers,D,78,1,16,17,-16,76,20:54,0,0,100,1.0,2081,0,0,0,0.0,0,0,0.0
Brayden McNabb,D,82,1,16,17,17,51,19:50,0,0,89,1.1,2011,0,0,0,0.0,0,0,0.0
Radko Gudas,D,72,2,15,17,14,79,17:21,0,0,110,1.8,1639,0,0,0,0.0,0,0,0.0
Sean Monahan,C,25,6,11,17,-5,16,17:22,1,3,55,10.9,525,0,177,144,55.1,0,0,0.0
Denis Gurianov,RW,66,7,10,17,-9,10,13:11,1,2,116,6.0,1140,0,0,1,0.0,1,0,0.0
Noah Gregor,LW,57,10,7,17,-9,32,12:58,0,0,119,8.4,1033,1,7,16,30.4,0,0,0.0
Sheldon Dries,C,63,11,6,17,-9,29,11:31,4,1,94,11.7,1098,0,235,236,49.9,0,0,0.0
