Timestamp,First Name,Shot Distance (feet),Shot Made?
11/8/2023 13:25:52,IT dept,2,FALSE
11/8/2023 13:25:53,David,2,TRUE
11/8/2023 13:25:54,David ,4,FALSE
11/8/2023 13:25:55,Scott,2,FALSE
11/8/2023 13:25:56,Terry,8,TRUE
11/8/2023 13:25:58,Kate,10,FALSE
11/8/2023 13:25:59,Divine,2,FALSE
11/8/2023 13:26:02,Bernadette ,10,FALSE
11/8/2023 13:26:02,John,4,TRUE
11/8/2023 13:26:05,Terry ,8,FALSE
11/8/2023 13:26:06,Mac,6,TRUE
11/8/2023 13:26:06,Scott,4,FALSE
11/8/2023 13:26:11,David,4,FALSE
11/8/2023 13:26:13,John,4,TRUE
11/8/2023 13:26:15,Kal,6,TRUE
11/8/2023 13:26:15,Scott,2,FALSE
11/8/2023 13:26:17,David ,4,FALSE
11/8/2023 13:26:30,John,4,TRUE
11/8/2023 13:26:33,Dave,2,TRUE
11/8/2023 13:26:33,David ,4,FALSE
11/8/2023 13:26:42,Dave,2,TRUE
11/8/2023 13:26:48,Barry,10,FALSE
11/8/2023 13:26:52,John,4,TRUE
11/8/2023 13:26:57,Dave,6,FALSE
11/8/2023 13:27:04,John,4,FALSE
11/8/2023 13:27:14,John,4,FALSE
11/8/2023 13:27:26,John,4,TRUE
11/8/2023 13:27:37,John,4,TRUE
11/8/2023 13:28:28,Brad,8,TRUE
11/8/2023 13:28:36,Brad,8,FALSE
11/8/2023 13:28:47,Brad,8,FALSE
11/8/2023 13:44:37,Gurm,2,TRUE
11/13/2023 8:26:36,PB,4,TRUE
11/13/2023 8:26:44,PB,6,TRUE
11/14/2023 7:46:14,PB,2,TRUE
11/14/2023 8:17:07,mubarak ,10,FALSE
11/14/2023 8:17:19,jacob,10,FALSE
11/14/2023 8:17:29,benjamin ,10,FALSE
11/14/2023 8:17:55,jhustin,2,TRUE
11/14/2023 8:18:02,J.G,10,FALSE
11/14/2023 8:18:08,Joshua G,10,FALSE
11/14/2023 8:18:15,Jhustin ,4,TRUE
11/14/2023 8:18:34,Joshua G,8,FALSE
11/14/2023 8:18:38,Jhustin ,6,TRUE
11/14/2023 8:18:45,Jether,4,TRUE
11/14/2023 8:18:49,benjamin ,8,FALSE
11/14/2023 8:18:53,Jhustin,8,TRUE
11/14/2023 8:19:01,mubarak ,8,FALSE
11/14/2023 8:19:22,J.G,8,FALSE
11/14/2023 8:19:52,mubarak ,6,FALSE
11/14/2023 8:20:06,ben,6,TRUE
11/14/2023 8:20:12,Nico,10,TRUE
11/14/2023 8:20:22,Adrianna,6,TRUE
11/14/2023 8:20:23,Nico,10,TRUE
11/14/2023 8:20:28,josh,6,FALSE
11/14/2023 8:20:31,Jether,2,TRUE
11/14/2023 8:20:32,Nico,10,TRUE
11/14/2023 8:20:40,Jether,6,FALSE
11/14/2023 8:20:40,Nico,10,FALSE
11/14/2023 8:20:41,dyaln,6,TRUE
11/14/2023 8:20:47,Nico,10,FALSE
11/14/2023 8:20:48,Jether,8,TRUE
11/14/2023 8:20:56,Jether,10,FALSE
11/14/2023 8:21:16,Adrianna,4,TRUE
11/14/2023 8:21:36,Adrianna,10,FALSE
11/14/2023 8:21:43, Hope,10,TRUE
11/14/2023 8:21:43,josh,4,FALSE
11/14/2023 8:21:43,Adrianna,8,FALSE
11/14/2023 8:21:59,Nico,10,FALSE
11/14/2023 8:22:01,Sophia ,8,TRUE
11/14/2023 8:22:10,Adrianna,8,FALSE
11/14/2023 8:22:12,m.o,4,TRUE
11/14/2023 8:22:13,Edgar,10,TRUE
11/14/2023 8:22:13,Nico,10,TRUE
11/14/2023 8:22:27,Edgar,2,TRUE
11/14/2023 8:22:31,Marjorie ,4,TRUE
11/14/2023 8:22:32,Francisco,10,TRUE
11/14/2023 8:22:36,Edgar,4,TRUE
11/14/2023 8:22:38,Adrianna,2,TRUE
11/14/2023 8:22:44,ben,4,FALSE
11/14/2023 8:22:44,Nico,10,TRUE
11/14/2023 8:22:45,Francisco,2,TRUE
11/14/2023 8:22:46,Edgar,6,FALSE
11/14/2023 8:22:57,Francisco,4,TRUE
11/14/2023 8:23:02,Edgar,8,FALSE
11/14/2023 8:23:02,Ava,2,TRUE
11/14/2023 8:23:03,Nico,10,FALSE
11/14/2023 8:23:03,dylan,2,TRUE
11/14/2023 8:23:10,Francisco,6,TRUE
11/14/2023 8:23:11,josh,2,TRUE
11/14/2023 8:23:19,Francisco,8,FALSE
11/14/2023 8:23:21,Adrianna,10,FALSE
11/14/2023 8:23:22,m.o,2,TRUE
11/14/2023 8:23:23,Ava,8,TRUE
11/14/2023 8:23:33,Ava ,4,FALSE
11/14/2023 8:23:42,ben,2,FALSE
11/14/2023 8:23:44,Ava,6,FALSE
11/14/2023 8:23:46,Marina C,4,TRUE
11/14/2023 8:23:51,Naya,2,TRUE
11/14/2023 8:23:55,Ava ,10,FALSE
11/14/2023 8:24:01,Naya,4,TRUE
11/14/2023 8:24:04,dylan,2,TRUE
11/14/2023 8:24:05,Marina C,4,FALSE
11/14/2023 8:24:05,Hope ,4,FALSE
11/14/2023 8:24:06,R.M,2,TRUE
11/14/2023 8:24:06,Nico,10,TRUE
11/14/2023 8:24:09,Naya,10,FALSE
11/14/2023 8:24:15,Marina C,4,FALSE
11/14/2023 8:24:20,Naya,8,FALSE
11/14/2023 8:24:21,Hope,6,FALSE
11/14/2023 8:24:26,Marina C,4,TRUE
11/14/2023 8:24:30,R.M,4,TRUE
11/14/2023 8:24:34,Hope,2,TRUE
11/14/2023 8:24:36,Marina C,4,FALSE
11/14/2023 8:25:01,R.M,8,FALSE
11/14/2023 8:25:11,Marjorie ,2,TRUE
11/14/2023 8:25:13,R.M,8,TRUE
11/14/2023 8:25:21,dylan,10,TRUE
11/14/2023 8:25:24,R.M,10,TRUE
11/14/2023 8:25:31,Marjorie ,6,TRUE
11/14/2023 8:25:33,R.M,10,FALSE
11/14/2023 8:25:40,Marjorie ,8,FALSE
11/14/2023 8:25:48,R.M,10,FALSE
11/14/2023 8:25:53,Marjorie ,10,FALSE
11/14/2023 8:25:55,Naya,8,FALSE
11/14/2023 8:26:08,Sophia ,2,TRUE
11/14/2023 8:26:09,R.M,10,TRUE
11/14/2023 8:26:10,Naya,2,TRUE
11/14/2023 8:26:26,R.M,10,FALSE
11/14/2023 8:26:28,Sophia ,4,TRUE
11/14/2023 8:26:31,Naya,10,FALSE
11/14/2023 8:26:35,Sophia ,6,TRUE
11/14/2023 8:26:39,R.M,8,TRUE
11/14/2023 8:26:46,Sophia ,8,FALSE
11/14/2023 8:28:00,Jether,6,TRUE
11/14/2023 8:28:11,Jether ,8,TRUE
11/14/2023 8:28:18,Jether,4,TRUE
11/14/2023 8:59:17,ben ,10,FALSE
11/14/2023 8:59:31,dylan ,10,FALSE
11/14/2023 8:59:45,josh ,10,FALSE
11/14/2023 9:00:01,m.o,10,FALSE
11/14/2023 9:00:20,Sophia,2,TRUE
11/14/2023 9:00:25,Alejandro,10,FALSE
11/14/2023 9:00:27,Sophia,4,TRUE
11/14/2023 9:00:32,Marina C,6,FALSE
11/14/2023 9:00:34,ben,8,FALSE
11/14/2023 9:00:40,Sophia,6,FALSE
11/14/2023 9:00:45,dylan ,8,FALSE
11/14/2023 9:00:51,Marina C,6,TRUE
11/14/2023 9:00:51,Naya,10,FALSE
11/14/2023 9:00:55,Sophia,8,TRUE
11/14/2023 9:00:59,Marina C,6,TRUE
11/14/2023 9:01:02,josh ,8,FALSE
11/14/2023 9:01:03,Sophia,10,TRUE
11/14/2023 9:01:10,Adrianna,6,FALSE
11/14/2023 9:01:13,m.o,8,FALSE
11/14/2023 9:01:23,Marjorie,2,TRUE
11/14/2023 9:01:31,ben,6,FALSE
11/14/2023 9:01:31,Marjorie,4,FALSE
11/14/2023 9:01:32,Adrianna,2,TRUE
11/14/2023 9:01:41,Naya,6,FALSE
11/14/2023 9:01:44,dylan ,6,FALSE
11/14/2023 9:01:54,josh ,6,FALSE
11/14/2023 9:01:59,Naya,8,FALSE
11/14/2023 9:02:02,Marjorie,6,FALSE
11/14/2023 9:02:14,Naya,2,TRUE
11/14/2023 9:02:16,Marjorie,8,TRUE
11/14/2023 9:02:22,Nico,10,FALSE
11/14/2023 9:02:23,Jether,6,TRUE
11/14/2023 9:02:29,Marjorie,10,FALSE
11/14/2023 9:02:29,Nico,10,FALSE
11/14/2023 9:02:34,Francisco,10,FALSE
11/14/2023 9:02:40,Francisco,10,FALSE
11/14/2023 9:02:42,Nico,10,FALSE
11/14/2023 9:02:50,Francisco,10,FALSE
